symbol,shares
INNOVACAP,57224929
INNOVANA,20660000
INNOVATIVE,629704
INNOVISION,23813294
INOXGREEN,401492045
INOXINDIA,90763500
INOXWIND,1728237822
INSECTICID,29097837
INSPIRE,13609299
INSPIRISYS,39616873
INTELLECT,139324312
INTENTECH,23356353
INTERARCH,16817032
IOB,19256589795
IOLCP,293527510
IPCALAB,253704218
IPL,115163508
IPSL,8606510
IRB,12078000000
IRCON,940515740
IRCTC,800000000
IREDA,2809231268
IRFC,13068506000
IRIS,20568247
IRMENERGY,41059677
ISGEC,73529510
ISHAN,216235290
ITALIANE,14777151
ITC,12529782031
ITCHOTELS,2083005769
ITDC,85769400
ITI,962851967
IVP,10326263
IXIGO,441044262
IZMO,14980321
J&KBANK,1101182463
JAGRAN,217654272
JAGSNPHARM,65929470
JAIBALAJI,912251430
JAICORPLTD,175504995
JAINAM,10561200
JAINREC,345085814
JAIPURKURT,17261606
JALAN,14537220
JAMNAAUTO,399846000
JASH,62905120
JAYBARMARU,108250000
JAYKAY,130287066
JAYNECOIND,970998244
JAYSREETEA,28877488
JBCHEPHARM,160558706
JBFIND,81871849
JBMA,236494264
JETAIRWAYS,113597383
JETFREIGHT,46403784
JFLLIFE,34566528
JGCHEM,39186063
JHS,87405767
JIKIND,72641000
JINDALPHOT,10258326
JINDALPOLY,43786413
JINDALSAW,637621094
JINDALSTEL,1017488097
JINDCOT,45003100
JINDRILL,28981104
JINDWORLD,1002602000
JISLDVREQS,19294304
JISLJALEQS,714215947
JITFINFRA,25703706
JIWANRAM,24748225
JKCEMENT,77268251
JKIL,75665506
JKIPL,38386000
JKLAKSHMI,124144426
JKPAPER,181318771
JKTYRE,288289511
JLHL,327830110
JMA,22841054
JMFINANCIL,956959936
JNKINDIA,55953915
JOCIL,8881150
JPINFRATEC,125000000
JPPOWER,6853458827
JSFB,105752539
JSL,823949824
JSLL,124300730
JSWCEMENT,1350345020
JSWDULUX,45540314
JSWENERGY,1832372944
JSWHL,11098438
JSWINFRA,2315161753
JSWSTEEL,2440978228
JTEKTINDIA,277396890
JTLIND,393081630
JUBLCPL,15152493
JUBLINGREA,157716549
JUBLPHARMA,158387168
JUNIPER,222502384
JUSTDIAL,85049032
JWL,427370389
JYOTHYLAB,367214511
JYOTICNC,227423096
JYOTISTRUC,1193659937
K2INFRA,12618394
KABRAEXTRU,34972836
KAJARIACER,157143050
KALPATARU,205922093
KALYANKJIL,1032750972
KAMATHOTEL,29480072
KAMDHENU,281883000
KANANIIND,197868000
KANORICHEM,43693333
KANPRPLA,24478958
KANSAINER,808778779
KARNIKA,61997500
KARURVYSYA,966667248
KAUSHALYA,346306
KAVDEFENCE,60124260
KAYA,15187609
KAYNES,67222491
KCEIL,10960000
KCP,128921160
KDDL,12299280
KDL,12024000
KEC,266200000
KECL,66414071
KEEPLEARN,155712083
KEI,95600595
KELLTONTEC,531404670
KERNEX,16803622
KESORAMIND,310663663
KFINTECH,172872079
KHADIM,18378382
KHAICHEM,96989200
KHAITANLTD,4750000
KHFM,21632640
KILITCH,34961564
KIMS,400138935
KIOCL,607751096
KIRIINDUS,65168000
KIRLOSBROS,79408926
KIRLOSENG,145519854
KIRLOSIND,10509580
KIRLPNU,129926380
KITEX,199500000
KLL,18530000
KMEW,24600000
KNRCON,281234600
KODYTECH,12747560
KOKUYOCMLN,100303806
KOLTEPATIL,88680094
KONSTELEC,15100000
KONTOR,7000000
KOPRAN,48285605
KORE,11130000
KOTAKBANK,9947656028
KOTYARK,113070276
KPEL,67798099
KPIGREEN,197671968
KPIL,170772546
KPITTECH,272227219
KPRMILL,341814000
KRBL,228889892
KREBSBIO,21560586
KRISHANA,309138000
KRISHCA,14190000
KRISHNADEF,14933388
KRN,65458486
KRSNAA,32438672
KRYSTAL,13971952
KSB,174039220
KSCL,51040869
KSERASERA,2135879936
KSHITIJPOL,89000476
KSK,423985984
KSL,43759380
KSOLVES,23720400
KTKBANK,378181562
KTL,17187000
LAKSHMIEFL,73630000
LALPATHLAB,166977774
LAMBODHARA,10377600
LANCORHOL,73550560
LANDMARK,41464910
LANDSMILL,1410695055
LASA,50101239
LATENTVIEW,206924980
LATTEYS,57495825
LAURUSLABS,540312218
LAXMIDENTL,55021509
LAXMIINDIA,52393078
LCCINFOTEC,126593350
LEEL,40332300
LEMERITE,125168000
LEMONTREE,791847623
LEXUS,20190724
LFIC,3000000
LGBBROSLTD,31892416
LGEINDIA,678772392
LGHL,50092560
LIBAS,26344580
LICHSGFIN,550063000
LICI,12649995402
LIKHITHA,39450000
LINC,59489164
LINCOLN,20029728
LINDEINDIA,85284223
LLOYDSENGG,1546533750
LLOYDSENT,1494202102
LLOYDSME,562589673
LMW,10683000
LODHA,998927026
LOKESHMACH,21796770
LORDSCHLO,28653861
LOTUSDEV,488723710
LOVABLE,14800000
LPDC,134143160
LRRPL,7341675
LT,1375866086
LTF,2506045818
LTFOODS,347252944
LTM,296461217
LTTS,106077543
LUMAXIND,9347732
LUMAXTECH,68157705
LUPIN,457265861
LUXIND,30071681
