symbol,t0,company,order_value_inr,mcap_prior,materiality_ratio,median_daily_value
KEC,2021-04-22,KEC International Limited,12450000000.0,106054200231.9336,0.11739280455439449,376288937.3097229
KEC,2022-06-21,KEC International Limited,10920000000.0,94042258306.88477,0.11611801116435498,376288937.3097229
KEC,2022-09-21,KEC International Limited,11230000000.0,109843333990.47852,0.10223651806648043,376288937.3097229
KEC,2023-12-28,KEC International Limited,15660000000.0,153566009716.79688,0.10197569129314381,376288937.3097229
KEC,2026-06-30,KEC International Limited,17540000000.0,135619833862.30469,0.12933211537339315,376288937.3097229
KERNEX,2024-01-02,Kernex Microsystems (India) Limited,1094650000.0,9773827146.544678,0.11199809282354553,214992437.73034668
KPIL,2021-03-03,Kalpataru Projects International Limited,15540000000.0,63138354244.14697,0.24612614924850662,163163887.75073242
KPIL,2021-07-16,Kalpataru Projects International Limited,16240000000.0,73411713331.45935,0.2212181035289994,163163887.75073242
KPIL,2021-12-02,Kalpataru Projects International Limited,17950000000.0,62303201030.75281,0.288107187159451,163163887.75073242
KPIL,2022-03-10,Kalpataru Projects International Limited,32760000000.0,61121093121.392944,0.5359851783889922,163163887.75073242
KPIL,2022-06-22,Kalpataru Projects International Limited,22900000000.0,58279190510.86981,0.3929361372260114,163163887.75073242
KPIL,2022-11-04,Kalpataru Projects International Limited,35670000000.0,76794503376.64911,0.46448636857577713,163163887.75073242
KPIL,2023-02-02,Kalpataru Projects International Limited,24560000000.0,84945364218.97302,0.28912701977107286,163163887.75073242
KPIL,2023-06-30,Kalpataru Projects International Limited,10080000000.0,87162342917.0387,0.11564627180334247,163163887.75073242
KPIL,2023-12-29,Kalpataru Projects International Limited,32440000000.0,109795636022.45581,0.2954580088535145,163163887.75073242
KPIL,2024-03-28,Kalpataru Projects International Limited,20710000000.0,177942074455.87207,0.11638618951323894,163163887.75073242
KPIL,2024-11-13,Kalpataru Projects International Limited,22730000000.0,208722908637.01758,0.10890036052309388,163163887.75073242
KPIL,2025-03-07,Kalpataru Projects International Limited,23060000000.0,154157234055.40613,0.1495875308174765,163163887.75073242
KRYSTAL,2025-09-02,Krystal Integrated Services Limited,3700000000.0,9403123696.0,0.39348626261015207,12097254.420196533
LIKHITHA,2023-07-20,Likhitha Infrastructure Limited,2355000000.0,10919314068.603516,0.21567288798582784,8403190.883743286
MAHLIFE,2025-06-27,Mahindra Lifespace Developers Limited,12500000000.0,75841874282.70657,0.1648166018867791,41835921.56349182
MAHLIFE,2025-10-13,Mahindra Lifespace Developers Limited,8000000000.0,78240767808.49127,0.10224848533671702,41835921.56349182
MANAKCOAT,2024-09-30,Manaksia Coated Metals & Industries Limited,2000000000.0,7070609902.444077,0.28286103003768687,23983299.875602722
MANINDS,2021-08-02,Man Industries (India) Limited,2000000000.0,9648942739.741959,0.2072765953685705,216378985.0345459
MANINDS,2022-05-02,Man Industries (India) Limited,8070000000.0,6815390841.113808,1.1840846971413246,216378985.0345459
MANINDS,2023-03-16,Man Industries (India) Limited,13000000000.0,6316162750.518082,2.058211688565764,216378985.0345459
MANINDS,2023-10-03,Man Industries (India) Limited,4000000000.0,13985534284.038956,0.2860098097621494,216378985.0345459
MANINDS,2024-01-15,Man Industries (India) Limited,4000000000.0,25308228797.57791,0.15805136076463852,216378985.0345459
MANINDS,2024-05-21,Man Industries (India) Limited,5050000000.0,27521011142.07791,0.18349616494572993,216378985.0345459
MANINDS,2025-06-05,Man Industries (India) Limited,11500000000.0,29572523366.75,0.3888744919525561,216378985.0345459
MANINDS,2025-09-03,Man Industries (India) Limited,17000000000.0,29178723119.0,0.5826163102020832,216378985.0345459
MANINDS,2026-01-12,Man Industries (India) Limited,5500000000.0,26377115184.32791,0.20851408357453172,216378985.0345459
MANINFRA,2021-09-15,Man Infraconstruction Limited,2500000000.0,21917897517.75444,0.11406203528303262,61921271.77417374
MANINFRA,2022-04-13,Man Infraconstruction Limited,9378900000.0,46186039412.341194,0.20306785598710375,61921271.77417374
MANINFRA,2023-06-23,Man Infraconstruction Limited,6800000000.0,45655484909.3515,0.1489415787281929,61921271.77417374
NBCC,2021-09-27,NBCC (India) Limited,9685000000.0,79899509811.40137,0.121214761177646,1076020145.1950035
NCC,2021-02-01,NCC Limited,12000000000.0,33950833465.644882,0.35345229483520324,393211227.5655823
NCC,2021-09-01,NCC Limited,8770000000.0,46065963311.98132,0.19037917302641114,393211227.5655823
NCC,2022-01-03,NCC Limited,18980000000.0,40892628520.31946,0.46414233290405577,393211227.5655823
NCLIND,2021-08-02,NCL Industries Limited,18631900000.0,10724389027.541656,1.7373390644586657,10235348.916801453
NETWEB,2025-09-03,Netweb Technologies India Limited,17340000000.0,134656166736.85693,0.12877241659407673,4675399327.057495
NIBE,2026-01-05,NIBE Limited,2926900000.0,19172593603.32251,0.15266061861827518,54914212.5
PATELENG,2022-04-19,Patel Engineering Limited,4197000000.0,23556181278.129433,0.1781697954539293,135644579.04406548
PATELENG,2023-05-04,Patel Engineering Limited,5082400000.0,20294763561.25,0.25042913087709623,135644579.04406548
PATELENG,2023-09-05,Patel Engineering Limited,12753000000.0,53005147183.5,0.24059927530905692,135644579.04406548
PATELENG,2026-03-19,Patel Engineering Limited,9100800000.0,23847540338.31079,0.38162426274963346,135644579.04406548
POWERMECH,2021-06-28,Power Mech Projects Limited,92941400000.0,10556238768.16333,8.804404868171694,180084603.5
POWERMECH,2021-10-11,Power Mech Projects Limited,4486000000.0,15895887771.298096,0.2822113533098795,180084603.5
POWERMECH,2022-03-14,Power Mech Projects Limited,21200000000.0,13889871287.210815,1.5262920412747114,180084603.5
POWERMECH,2022-08-18,Power Mech Projects Limited,61632000000.0,18151968014.12915,3.395334321437037,180084603.5
POWERMECH,2022-12-26,Power Mech Projects Limited,10341300000.0,29069777598.230713,0.35574059571165784,180084603.5
POWERMECH,2023-04-21,Power Mech Projects Limited,7200000000.0,38971278928.78125,0.18475144254715806,180084603.5
POWERMECH,2023-07-31,Power Mech Projects Limited,304380000000.0,66702912019.81348,4.563219067701073,180084603.5
QUADFUTURE,2026-01-14,Quadrant Future Tek Limited,2870000000.0,12188000488.28125,0.2354775094372126,95622836.9718628
RAMKY,2026-03-05,Ramky Infrastructure Limited,14018400000.0,29789649025.5,0.47057956231710624,24097979.86616516
RPPINFRA,2024-06-24,R.P.P. Infra Projects Limited,1521100000.0,6414201343.457367,0.23714565829018713,5089334.727333069
RUSTOMJEE,2026-03-06,Keystone Realtors Limited,45210000000.0,50486363682.146576,0.8954893302404259,15757876.834274292
SALASAR,2021-11-29,Salasar Techno Engineering Limited,1700000000.0,9211428778.449879,0.18455334572820528,28373573.96032715
SALASAR,2022-12-20,Salasar Techno Engineering Limited,7484600000.0,18161169106.72985,0.4121210455127851,28373573.96032715
SALASAR,2025-11-27,Salasar Techno Engineering Limited,6951800000.0,17549420844.92099,0.39612703242067004,28373573.96032715
SATIA,2023-01-02,Satia Industries Limited,2000000000.0,12899546813.964844,0.15504420650148978,5951486.272661209
SPMLINFRA,2025-03-10,SPML Infra Limited,6179800000.0,14105209682.371704,0.4381218102502468,63193097.17259216
SPMLINFRA,2025-07-11,SPML Infra Limited,3850000000.0,23038565816.217926,0.16711109670246074,63193097.17259216
SRM,2025-08-20,SRM Contractors Limited,1740000000.0,11098109820.080566,0.156783454859286,47161638.25366211
SRM,2026-04-06,SRM Contractors Limited,4830000000.0,9586086479.919434,0.5038552500144557,47161638.25366211
STLTECH,2024-11-13,Sterlite Technologies Limited,26000000000.0,61181134928.43265,0.4249675987608567,1226388650.502716
SURYAROSNI,2022-05-02,Surya Roshni Limited,6086300000.0,22392885971.76831,0.27179614131350754,88189557.79100037
SWSOLAR,2021-10-01,Sterling and Wilson Renewable Energy Limited,15000000000.0,93416556400.0,0.16057110835654825,311455063.91158295
SWSOLAR,2022-08-23,Sterling and Wilson Renewable Energy Limited,22000000000.0,65601775306.47647,0.3353567780326224,311455063.91158295
SWSOLAR,2026-04-20,Sterling and Wilson Renewable Energy Limited,35500000000.0,45300023897.354706,0.7836640457506033,311455063.91158295
TALBROAUTO,2022-12-02,Talbros Automotive Components Limited,4200000000.0,5659761918.3151245,0.7420806847738064,26704434.589508057
TALBROAUTO,2024-04-18,Talbros Automotive Components Limited,10000000000.0,17243048889.056396,0.5799438408103497,26704434.589508057
TALBROAUTO,2024-11-27,Talbros Automotive Components Limited,4750000000.0,18407525346.67511,0.258046636391457,26704434.589508057
TALBROAUTO,2026-02-06,Talbros Automotive Components Limited,10000000000.0,17394991916.482544,0.5748781056071975,26704434.589508057
TARIL,2023-03-28,Transformers And Rectifiers (India) Limited,1840000000.0,8084601882.675247,0.22759314888998988,900850436.820427
TARIL,2023-07-26,Transformers And Rectifiers (India) Limited,1340000000.0,13100050937.263298,0.10228967859875637,900850436.820427
TEJASNET,2023-08-16,Tejas Networks Limited,74920000000.0,144011522226.77203,0.5202361508409376,1403528876.2756653
ZENTEC,2021-07-20,Zen Technologies Limited,1200000000.0,8488782465.705139,0.14136302877921839,644860237.0697021
